acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.4138889059802831,-0.0152777788063884,0.9222222655264142,-0.078801617026329,-0.1359175145626068,-0.0424551330506801
0.4138889059802831,-0.0194444453391774,0.9333334005924472,-0.0372627787292003,-0.0360410511493682,-0.0369573459029197
0.4041666871094333,-0.0208333341834404,0.9263889411761764,-0.0351247526705265,0.0216857157647609,-0.0384845100343227
0.4069444708759415,-0.0250000007162294,0.9236111574096684,-0.0363464802503585,0.0039706239476799,-0.0406225398182869
0.4069444708759415,-0.0236111118719664,0.9069444548106188,-0.0119118718430399,0.1062905490398407,-0.0113010071218013
0.3944444682385835,-0.0125000003581147,0.9041666710441106,-0.0012217304902151,0.0360410511493682,0.0244346093386411
0.3972222276931627,-0.0250000007162294,0.8902778494592856,-0.1172861307859421,-0.2409863322973251,0.1264491081237793
0.3972222276931627,-0.0250000007162294,0.8902778494592856,-0.1172861307859421,-0.2409863322973251,0.1264491081237793
0.4375000193717451,-0.0277777799242509,0.9027777791608564,-0.2275473028421402,-0.2968805134296417,0.1954768747091293
0.4333333437219827,-0.0250000007162294,0.9138889142268896,-0.2339613884687424,-0.3384193480014801,0.1744020283222199
0.4194444735132996,-0.0305555576127769,0.9152778061101436,-0.1988366395235062,-0.2009746730327606,0.1084285825490952
0.4111111222137748,-0.0486111125881958,0.9236111574096684,-0.1631010174751282,-0.0366519130766391,0.0568104684352874
0.4208333653965537,-0.0666666706026059,0.92083337364316,-0.1099557429552078,-0.0482583530247211,0.0369573459029197
0.4430555869047616,-0.0708333340964037,0.908333346693873,-0.0531452745199203,-0.1600466966629028,0.081550508737564
0.4416666950215075,-0.0555555598485019,0.92083337364316,0.0335975885391235,-0.2306016236543655,0.0320704244077205
0.423611149163062,-0.0402777795226179,0.92083337364316,-0.0500909499824047,-0.2981022298336029,-0.0244346093386411
0.4208333653965537,-0.0361111129898289,0.92083337364316,-0.1255328059196472,-0.2244929820299149,-0.0626136884093284
0.4652778084129695,-0.0611111152255539,0.9111111304603812,-0.0555887371301651,0.0461203269660472,-0.0247400421649217
0.4652778084129695,-0.0611111152255539,0.9111111304603812,-0.0085521135479211,0.104763388633728,0.0207694191485643
0.4527777814636824,-0.0680555564078777,0.8902778494592856,-0.0238237436860799,0.0699440687894821,0.0522289797663688
0.4527777814636824,-0.0680555564078777,0.8902778494592856,-0.0073303831741213,0.0155770638957619,0.005192354787141
0.4305555599554745,-0.0500000014324588,0.9041666710441106,0.0073303831741213,0.0116064399480819,0.0045814891345798
0.4416666950215075,-0.0513888902767218,0.9013888872776024,-0.0091629782691597,0.0097738439217209,0.0180205255746841
